id;command_number;status;total;created;created_by;updated;updated_by
1;strategic Fantastic Dollar;EN_ATTENTE_PAIEMENT;69817;2023-09-27T07:57:00;Dynamic;2023-09-27T07:13:35;artificial
2;Sleek;EN_ATTENTE_PAIEMENT;60593;2023-09-27T14:31:38;transmitter navigate;2023-09-26T19:35:42;salmon Global withdrawal
3;Mouse;PAIEMENT_ACCEPTE;71309;2023-09-27T00:05:22;withdrawal Hat;2023-09-27T00:23:49;conglomeration Practical administration
4;24/365 multi-state Investment;EN_ATTENTE_PAIEMENT;42575;2023-09-27T05:53:42;Station;2023-09-26T19:23:42;modular
5;Kitts Route;PAIEMENT_ACCEPTE;94232;2023-09-26T17:29:54;Bacon budgetary;2023-09-26T21:33:00;Account haptic
6;Generic;EXPEDIEE;68647;2023-09-27T02:23:49;Investment generate;2023-09-27T09:59:38;Fresh
7;Extended;EN_ATTENTE_PAIEMENT;31433;2023-09-27T09:10:57;Usability;2023-09-27T08:14:45;Wooden pixel gold
8;Michigan;EN_ATTENTE_PAIEMENT;85029;2023-09-27T06:19:28;Licensed Uzbekistan ROI;2023-09-27T14:37:28;parse Soft
9;Planner;EXPEDIEE;33531;2023-09-27T11:45:44;Rubber dynamic;2023-09-27T13:31:38;Crest
10;American payment;EN_PREPARATION;61584;2023-09-27T06:30:56;Configuration Infrastructure;2023-09-27T15:34:33;Fresh invoice Credit
