id;quantity;created;created_by;updated;updated_by
1;41006;2023-09-27T15:46:01;distributed Carolina;2023-09-27T00:18:16;web-enabled mindshare of
2;60070;2023-09-27T13:08:05;Investor interface;2023-09-26T20:15:25;Georgia bluetooth Legacy
3;41075;2023-09-27T00:34:49;payment Borders Island;2023-09-27T14:55:24;Keys override
4;62044;2023-09-26T22:41:13;Shoes Intelligent bypass;2023-09-27T04:50:47;California transmit
5;18027;2023-09-26T21:29:51;Awesome vertical Dollar;2023-09-27T06:43:51;Interactions implement compress
6;93428;2023-09-26T21:14:52;Shoes multimedia Response;2023-09-27T09:44:08;green Investor Pants
7;15329;2023-09-26T22:20:32;Sleek port Berkshire;2023-09-26T22:31:26;didactic
8;86841;2023-09-27T07:55:56;red bandwidth;2023-09-27T05:50:30;Rwanda Shirt
9;14030;2023-09-27T09:18:34;Cambridgeshire Cambridgeshire Soft;2023-09-27T09:18:57;Music Lead
10;13013;2023-09-26T21:32:26;Functionality Louisiana User-centric;2023-09-27T09:57:45;Auto Data Buckinghamshire
