id;total;status;created;created_by;updated;updated_by
1;92973;REFUSE;2023-09-27T12:24:11;initiatives niches Car;2023-09-27T09:45:35;transform
2;93654;ANNULE;2023-09-27T00:19:29;Sports redefine state;2023-09-27T14:16:08;Frozen
3;44648;EN_ATTENTE;2023-09-27T06:02:34;methodologies e-services Analyst;2023-09-26T17:46:30;Rustic
4;52276;ACCEPTE;2023-09-27T06:15:10;Buckinghamshire;2023-09-27T06:52:13;Automated
5;5281;EN_ATTENTE;2023-09-27T14:45:17;5th ADP Regional;2023-09-26T21:46:12;visionary District
6;73556;ACCEPTE;2023-09-27T12:48:34;withdrawal orchid;2023-09-27T02:12:38;ROI Consultant Chicken
7;35339;EN_ATTENTE;2023-09-27T07:07:02;object-oriented generating;2023-09-27T05:31:05;value-added Bedfordshire
8;60983;REFUSE;2023-09-27T03:18:11;California Wooden Israel;2023-09-26T21:40:39;Factors
9;49879;EN_ATTENTE;2023-09-27T11:50:02;Manager value-added Universal;2023-09-27T15:14:50;calculating
10;19531;ANNULE;2023-09-27T10:18:02;copy Cotton;2023-09-26T21:02:32;Maryland frame
