id;status;created;created_by;updated;updated_by
1;EN_COURS;2023-09-26T21:18:41;Rustic;2023-09-26T20:31:03;synergize state Iceland
2;EN_COURS;2023-09-27T03:43:53;Concrete Licensed;2023-09-27T14:28:06;vertical Gourde
3;EN_COURS;2023-09-26T20:13:26;loyalty auxiliary;2023-09-27T10:23:10;Solutions
4;EN_COURS;2023-09-27T02:16:28;Public-key mesh;2023-09-27T00:21:11;input Berkshire
5;EN_COURS;2023-09-26T21:09:59;Developer firewall;2023-09-27T10:42:55;Dakota adapter Books
6;EN_COURS;2023-09-26T23:59:00;Identity;2023-09-27T12:38:58;Bedfordshire
7;EN_COURS;2023-09-27T01:30:04;revolutionize;2023-09-27T05:02:36;Well bandwidth Chips
8;EN_COURS;2023-09-27T03:18:38;Developer;2023-09-27T01:40:11;enable Industrial Virginia
9;EN_COURS;2023-09-27T00:50:53;hierarchy Multi-channelled solution;2023-09-26T23:39:03;Brand Grass-roots payment
10;VALIDE;2023-09-26T18:36:04;Computer FTP magnetic;2023-09-27T11:00:20;copy lavender
