id;reference;name;description;product_status;active;quantity_in_stock;nbr_of_sells;image_path;minimal_quantity;maximal_quantity;weighted_average_price;location;consumption_deadline;bar_code;serial_number;brand;model;section;hallway;product_display;locker;product_code;created;created_by;updated;updated_by;fournisseur_id;product_category_id
2;Med456;Ibuprofen;Fever reducer;VALIDATED;true;8000;120;ibuprofen.jpg;20;300;8.49;Pharmacy;2023-10-15;987654321;DEF456;Advil;Advanced;Medicines;Aisle 2;Ibuprofen Display;Locker 2;IB456;2023-09-27T11:30:00;Alice Johnson;2023-09-27T14:45:00;Bob Brown;1;1
3;Med789;Antiseptic;Wound care;VALIDATED;false;3000;50;antiseptic.jpg;5;100;3.99;First Aid;2023-09-28;654321789;GHI789;Band-Aid;Basic;Medical Supplies;Aisle 4;First Aid Display;Locker 3;AS789;2023-09-28T09:15:00;Eva Lee;2023-09-28T12:20:00;David Wilson;2;2
4;Med101;Cough Syrup;Cough relief;VALIDATED;false;2000;30;cough_syrup.jpg;8;150;6.29;Pharmacy;2023-09-29;123987654;JKL101;Robitussin;Advanced;Medicines;Aisle 1;Cough Syrup Display;Locker 4;CS101;2023-09-29T13:45:00;Sarah Smith;2023-09-29T16:10:00;Michael Clark;3;3
5;Med202;Antibiotics;Infection treatment;VALIDATED;true;4000;70;antibiotics.jpg;15;250;12.99;Pharmacy;2023-10-05;789654123;MNO202;Amoxicillin;Standard;Medicines;Aisle 2;Antibiotics Display;Locker 5;AB202;2023-10-01T14:20:00;Laura White;2023-10-01T17:30:00;Peter Adams;4;4
6;Med303;Pain Relief Gel;Topical pain relief;VALIDATED;true;2500;40;pain_relief_gel.jpg;5;100;7.49;Pharmacy;2023-10-10;456789123;GEL303;ReliefCo;Fast Relief;Medicines;Aisle 3;Pain Relief Display;Locker 6;PRG303;2023-10-02T09:30:00;Mark Davis;2023-10-02T14:15:00;ReliefSup;1;2
7;Med404;Eye Drops;Eye irritation relief;VALIDATED;true;3500;60;eye_drops.jpg;8;120;9.99;Pharmacy;2023-10-12;567891234;ED404;VisionCare;Clear Vision;Medicines;Aisle 1;Eye Care Display;Locker 7;ED404;2023-10-03T11:45:00;Lisa Johnson;2023-10-03T16:30:00;VisionMed;3;3
8;Med505;Bandages;Wound dressing;VALIDATED;true;6000;80;bandages.jpg;10;200;3.49;First Aid;2023-10-14;678912345;BD505;FirstAid;Basic;Medical Supplies;Aisle 4;First Aid Display;Locker 8;BD505;2023-10-04T13:20:00;Daniel Brown;2023-10-04T17:50:00;FirstSup;3;1
9;Med606;Cotton Swabs;Ear cleaning;VALIDATED;false;4000;55;cotton_swabs.jpg;5;150;2.99;Pharmacy;2023-10-18;789123456;CS606;CleanEars;Basic;Ear Care;Aisle 2;Ear Care Display;Locker 9;CS606;2023-10-05T08:40:00;Michelle White;2023-10-05T12:10:00;EarSup;2;4
10;Med707;Hand Sanitizer;Antibacterial gel;VALIDATED;true;7500;90;hand_sanitizer.jpg;15;250;4.99;Pharmacy;2023-10-20;891234567;HS707;CleanHands;Basic;Sanitizers;Aisle 1;Sanitizer Display;Locker 10;HS707;2023-10-06T10:15:00;David Adams;2023-10-06T14:30:00;SanitizeCo;1;2
12;Med909;Thermometer;Temperature measurement;VALIDATED;false;2800;45;thermometer.jpg;5;100;11.49;First Aid;2023-10-30;123456789;TH909;MediCheck;Digital;Medical Devices;Aisle 4;Medical Devices Display;Locker 12;TH909;2023-10-08T14:30:00;Kevin Wilson;2023-10-08T18:45:00;MediTech;1;1
13;Med1010;Allergy Medication;Allergy relief;VALIDATED;true;4800;65;allergy_medication.jpg;12;220;8.99;Pharmacy;2023-11-05;234567890;AL1010;AllerRelief;Advanced;Medicines;Aisle 2;Allergy Relief Display;Locker 13;AL1010;2023-10-09T09:50:00;Emily Lee;2023-10-09T13:55:00;AllerMed;3;4
14;Med1111;Dental Floss;Oral hygiene;VALIDATED;false;3200;50;dental_floss.jpg;8;150;2.79;Pharmacy;2023-11-10;345678901;DF1111;OralCare;Basic;Oral Care;Aisle 1;Oral Care Display;Locker 14;DF1111;2023-10-10T11:20:00;Oliver Davis;2023-10-10T15:35:00;OralSup;2;2
15;Med1212;Pain Relief Patch;Localized pain relief;VALIDATED;true;4200;55;pain_relief_patch.jpg;7;180;4.49;First Aid;2023-11-15;456789012;PRP1212;ReliefPatch;Fast Relief;Medical Supplies;Aisle 3;Pain Relief Display;Locker 15;PRP1212;2023-10-11T13:40:00;Ava Brown;2023-10-11T17:55:00;PatchRel;1;3
