id;name;created;created_by
1;firmware;2023-09-26T17:16:30;compress
2;Director;2023-09-26T22:42:11;Strategist
3;capacitor cross-platform Lead;2023-09-27T01:55:57;Monitored
4;Rustic;2023-09-27T08:00:57;Idaho Intelligent Bacon
5;Toys Checking;2023-09-26T20:07:34;deposit Seamless tan
6;Licensed calculating Soft;2023-09-26T19:44:33;Universal reintermediate
7;Jersey payment Advanced;2023-09-26T19:09:33;transmit Grocery Grocery
8;Islands;2023-09-26T19:25:15;Ohio
9;Guernsey;2023-09-27T08:53:32;Licensed
10;SDD calculating;2023-09-27T06:48:39;olive deposit
